                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.87231,                  1.734,                 1.0396,                0.78203,                0.62236,                0.72502,                0.53064,                0.98513,                 1.8628,                 1.0958,             0.00065766,             0.00065766,             0.00065766
                      2,                 0.9619,                 1.2548,                 1.0884,                0.00109,                0.26531,                0.00064,                0.00039,                 2.4425,                    inf,                 5.3376,              0.0013156,              0.0013156,              0.0013156
                      3,                 1.0467,                 1.1235,                 1.1502,                  8e-05,                0.02041,                  4e-05,                  3e-05,                 4.3634,                    inf,                   22.7,              0.0019647,              0.0019647,              0.0019647
                      4,                 1.0054,                0.94157,                 1.1385,                 0.4477,                0.66327,                0.34457,                0.24471,                 1.2328,                 2.5337,                 1.5248,              0.0019604,              0.0019604,              0.0019604
                      5,                 1.0252,                0.92045,                 1.1594,                0.94268,                0.83904,                0.92661,                0.71242,                0.92099,                 0.9249,                 1.1275,              0.0019472,              0.0019472,              0.0019472
                      6,                 1.0074,                0.87885,                 1.1229,                0.79875,                0.52654,                0.57327,                0.43253,                 1.2765,                 1.7313,                 1.2978,               0.001934,               0.001934,               0.001934
                      7,                0.98455,                0.80257,                 1.1227,                0.96406,                0.82653,                0.92355,                0.70619,                0.87548,                0.80626,                 1.0495,              0.0019208,              0.0019208,              0.0019208
                      8,                0.95332,                  0.816,                 1.1114,                0.88625,                0.79505,                0.86424,                0.67666,                0.89437,                0.85227,                 1.0489,              0.0019076,              0.0019076,              0.0019076
                      9,                 0.9483,                0.77032,                 1.1316,                0.95713,                0.91123,                0.95708,                0.76031,                0.78165,                0.65962,                 1.0274,              0.0018944,              0.0018944,              0.0018944
                     10,                0.88941,                 0.7541,                 1.0677,                0.98781,                0.91837,                0.96633,                0.79311,                0.70755,                 0.6317,                0.97473,              0.0018812,              0.0018812,              0.0018812
                     11,                0.92975,                0.75105,                 1.1068,                0.52884,                0.85714,                0.54665,                0.44195,                0.74652,                 1.1962,                 1.0093,               0.001868,               0.001868,               0.001868
                     12,                0.86057,                0.73861,                 1.0896,                0.88305,                0.84754,                0.90557,                 0.7496,                0.75872,                0.77523,                  1.028,              0.0018548,              0.0018548,              0.0018548
                     13,                 0.8169,                0.67336,                 1.0682,                0.97726,                0.87755,                  0.954,                0.79693,                0.71308,                0.60855,                0.98004,              0.0018416,              0.0018416,              0.0018416
                     14,                0.85331,                0.70184,                 1.0727,                 0.9156,                0.92857,                0.95266,                 0.7844,                0.70648,                0.62871,                0.98939,              0.0018284,              0.0018284,              0.0018284
                     15,                0.82813,                0.68391,                 1.0693,                0.96053,                0.88776,                0.96719,                0.80916,                0.67924,                0.61689,                0.96972,              0.0018152,              0.0018152,              0.0018152
                     16,                0.89269,                0.66246,                 1.1013,                0.90354,                0.90816,                0.95103,                0.77902,                0.70906,                0.58207,                0.96421,               0.001802,               0.001802,               0.001802
                     17,                0.81974,                0.66671,                 1.0417,                0.91159,                0.94697,                0.96046,                0.83281,                0.61471,                0.58689,                 0.9499,              0.0017888,              0.0017888,              0.0017888
                     18,                0.78815,                0.62803,                 1.0304,                0.96967,                0.91837,                0.97144,                0.82634,                0.67194,                0.56487,                0.98826,              0.0017756,              0.0017756,              0.0017756
                     19,                0.77911,                0.59885,                 1.0208,                0.96449,                0.93878,                0.97333,                 0.8321,                0.63392,                0.52816,                0.95337,              0.0017624,              0.0017624,              0.0017624
                     20,                0.78027,                 0.6107,                 1.0277,                0.96783,                0.92091,                0.96471,                0.79657,                0.68196,                0.56149,                0.97818,              0.0017492,              0.0017492,              0.0017492
                     21,                0.78463,                0.62312,                 1.0467,                0.96758,                0.91365,                0.94724,                 0.8142,                0.61431,                0.58835,                0.97571,               0.001736,               0.001736,               0.001736
                     22,                0.76551,                0.59672,                 1.0331,                0.93862,                0.93619,                0.97058,                0.82913,                0.62661,                0.50567,                0.96339,              0.0017228,              0.0017228,              0.0017228
                     23,                0.75082,                0.56405,                 1.0143,                 0.9886,                0.93878,                 0.9742,                0.82304,                0.63055,                0.51311,                0.93368,              0.0017096,              0.0017096,              0.0017096
                     24,                0.74816,                0.57787,                 1.0193,                0.97089,                0.92857,                0.96647,                0.82346,                0.62935,                0.50854,                0.92933,              0.0016964,              0.0016964,              0.0016964
                     25,                0.74618,                 0.5504,                 1.0136,                  0.989,                0.91741,                0.97326,                0.81664,                0.65458,                0.51061,                0.95985,              0.0016832,              0.0016832,              0.0016832
                     26,                0.74037,                0.55175,                 1.0328,                0.93993,                0.95807,                0.97068,                0.83895,                0.56081,                0.48219,                0.92943,                0.00167,                0.00167,                0.00167
                     27,                 0.7286,                0.56611,                 1.0302,                0.94652,                0.97959,                0.97958,                0.85671,                0.58292,                0.49161,                0.93638,              0.0016568,              0.0016568,              0.0016568
                     28,                0.69973,                0.51203,                0.98452,                0.96676,                0.95918,                0.98123,                0.85787,                0.57262,                0.44585,                0.92567,              0.0016436,              0.0016436,              0.0016436
                     29,                0.68557,                0.50437,                0.98725,                0.98701,                0.94898,                0.98055,                0.83331,                0.62037,                0.45693,                0.93818,              0.0016304,              0.0016304,              0.0016304
                     30,                0.68793,                0.52695,                 1.0151,                0.97888,                0.94613,                0.97867,                0.85422,                0.55499,                0.44913,                0.91172,              0.0016172,              0.0016172,              0.0016172
                     31,                0.68751,                0.51303,                0.98923,                0.97581,                0.92857,                0.98161,                 0.8519,                0.58634,                0.48236,                0.92482,               0.001604,               0.001604,               0.001604
                     32,                0.70562,                0.51618,                 1.0354,                0.97887,                0.94546,                0.97736,                0.83803,                0.62413,                0.46834,                0.93046,              0.0015908,              0.0015908,              0.0015908
                     33,                0.66248,                0.47598,                0.99315,                0.97893,                0.94806,                0.97889,                0.86875,                0.57515,                 0.4447,                0.92309,              0.0015776,              0.0015776,              0.0015776
                     34,                0.68497,                0.51445,                0.99897,                0.97922,                0.96159,                 0.9798,                0.85265,                 0.5632,                0.46391,                0.91915,              0.0015644,              0.0015644,              0.0015644
                     35,                0.67166,                0.48869,                0.99057,                0.97826,                0.96939,                0.97606,                0.85889,                0.57159,                0.44252,                0.92207,              0.0015512,              0.0015512,              0.0015512
                     36,                0.67877,                0.50545,                0.97407,                 0.9677,                0.96939,                0.97934,                0.85567,                0.58263,                0.42905,                0.92173,               0.001538,               0.001538,               0.001538
